id_lote,linha,turno,fornecedor,temp_forno_c,tempo_ciclo_s,pressao_bar,umidade_pct,resultado_inspecao
2038,linha c,tarde,fornecedor c,194.0,45.2,5.93,51.1,retrabalho
2039,linha a,tarde,fornecedor a,188.2,36.7,6.44,47.7,conforme
2040,linha c,noite,fornecedor b,194.4,43.3,6.64,58.6,conforme
2041,linha a,noite,fornecedor a,185.0,47.3,6.68,31.6,conforme
2042,linha c,noite,fornecedor c,192.4,52.0,6.34,47.5,retrabalho
2043,linha a,tarde,fornecedor a,198.1,39.2,7.04,31.9,retrabalho
2044,linha c,manhã,fornecedor c,195.6,44.2,6.45,35.8,conforme
2045,linha a,manhã,fornecedor b,179.8,45.7,7.2,55.0,conforme
2046,linha c,tarde,fornecedor c,173.6,44.3,7.14,66.3,conforme
2047,linha b,manhã,fornecedor b,177.0,50.2,5.31,59.3,retrabalho
2048,linha c,manhã,fornecedor a,180.1,49.4,6.74,31.3,conforme
2049,linha c,tarde,fornecedor a,199.7,50.1,6.31,55.4,retrabalho
2050,linha c,noite,fornecedor b,185.5,45.1,6.31,40.8,conforme
2051,linha c,noite,fornecedor b,198.1,45.0,6.32,67.2,conforme
2052,linha b,manhã,fornecedor b,179.5,40.3,6.455,52.9,conforme
2053,linha c,manhã,fornecedor a,177.7,46.3,6.08,64.5,conforme
2054,linha c,manhã,fornecedor c,193.5,48.2,6.87,45.5,retrabalho
2055,linha b,tarde,fornecedor b,189.2,50.3,6.16,47.3,conforme
2056,linha a,noite,fornecedor c,198.4,39.3,6.41,73.5,retrabalho
2057,linha b,manhã,fornecedor a,190.1,38.5,6.71,31.5,conforme
2058,linha c,manhã,fornecedor b,175.2,50.2,6.87,48.150000000000006,conforme
2059,linha b,noite,fornecedor b,178.9,45.6,6.51,69.7,conforme
2060,linha c,tarde,fornecedor a,177.2,49.9,6.54,56.9,conforme
2061,linha a,manhã,fornecedor a,180.7,35.7,6.92,51.4,conforme
2062,linha b,manhã,fornecedor c,177.5,48.5,6.33,46.3,retrabalho
2063,linha c,tarde,fornecedor a,181.0,53.7,7.17,25.3,retrabalho
2064,linha c,tarde,fornecedor b,196.4,43.5,6.43,59.6,retrabalho
2065,linha c,tarde,fornecedor a,188.2,51.8,6.94,58.0,conforme
2066,linha b,tarde,fornecedor b,192.3,45.7,6.69,41.8,conforme
2067,linha b,manhã,fornecedor a,185.6,38.1,6.51,26.2,conforme
2068,linha a,tarde,fornecedor b,203.7,47.0,6.53,51.1,retrabalho
2069,linha a,noite,fornecedor c,188.5,46.0,6.38,58.7,conforme
2070,linha c,noite,fornecedor b,188.7,53.8,5.59,36.5,retrabalho
2071,linha a,noite,fornecedor a,191.8,45.7,6.0,29.1,conforme
2072,linha c,manhã,fornecedor b,191.9,43.7,6.38,38.2,conforme
2073,linha a,desconhecido,fornecedor b,194.5,46.6,6.41,50.5,conforme
2074,linha a,noite,fornecedor c,204.0,52.8,5.69,38.4,retrabalho
2075,linha b,manhã,fornecedor b,178.5,37.4,7.18,37.8,conforme
2076,linha c,tarde,fornecedor a,189.5,58.7,6.41,58.8,retrabalho
2077,linha c,tarde,fornecedor a,204.4,48.7,6.63,53.9,retrabalho
2078,linha b,manhã,fornecedor b,192.4,38.6,6.21,46.3,conforme
2079,linha b,tarde,fornecedor b,180.8,36.3,5.7,48.1,retrabalho
2080,linha a,tarde,fornecedor a,181.0,38.9,6.11,43.7,conforme
2081,linha c,manhã,fornecedor b,188.2,50.8,6.71,51.9,conforme
2082,linha c,noite,fornecedor b,193.7,56.6,6.4,68.5,retrabalho
2083,linha c,manhã,fornecedor a,191.0,50.4,6.53,48.7,conforme
2084,linha b,manhã,desconhecido,180.0,54.6,6.01,33.0,retrabalho
2085,linha a,tarde,fornecedor b,180.2,44.2,7.52,55.3,conforme
2086,linha a,tarde,fornecedor a,183.2,41.8,6.84,58.4,conforme
2087,linha a,manhã,fornecedor b,173.9,37.5,6.58,60.2,conforme
2088,linha b,manhã,fornecedor b,175.6,45.8,7.56,57.3,conforme
2089,linha a,tarde,fornecedor a,190.2,44.8,6.25,44.9,conforme
2090,linha c,tarde,fornecedor a,190.5,54.8,6.36,35.4,retrabalho
2091,linha b,noite,fornecedor b,175.1,35.1,6.0,60.3,conforme
2092,linha b,noite,fornecedor a,188.5,48.7,6.5,39.7,conforme
2093,linha a,tarde,fornecedor a,179.8,45.3,6.03,44.1,conforme
2094,linha b,tarde,fornecedor b,190.7,43.6,6.09,27.6,conforme
2095,linha a,noite,fornecedor b,184.7,46.4,6.52,41.6,conforme
2096,linha b,manhã,fornecedor b,178.8,38.6,6.85,52.5,conforme
