id_lote,linha,turno,fornecedor,temp_forno_c,tempo_ciclo_s,pressao_bar,umidade_pct,resultado_inspecao
2050,Linha C, noite ,Fornecedor B,185.5,45.1,6.31,40.8,conforme
2051,linha c, noite ,Forn B,198.1,45.0,6.32,67.2,Conforme
2052, linha B ,Manhã,Forn B,179.5,40.3,0.0,52.9,Conforme
2053, linha c ,MANHÃ,Forn A,177.7,46.3,6.08,64.5, conforme 
2054,LINHA C,Manhã,fornecedor c,193.5,48.2,6.87,45.5, retrabalho 
2055,Linha B,TARDE,fornecedor b,189.2,50.3,6.16,47.3,Conforme
2056,Linha a,NOITE, forn c ,198.4,39.3,6.41,73.5,Retrabalho
2057,linha b,Manhã,Fornecedor A,190.1,38.5,6.71,31.5,CONFORME
2058, linha c ,Manhã,Fornecedor B,175.2,50.2,6.87,135.0,conforme
2059,linha b, noite , FORN B ,178.9,45.6,6.51,69.7,CONFORME
2060, linha c ,tarde, forn a ,177.2,49.9,6.54,56.9,Conforme
2061,Linha a, manha ,Forn A,180.7,35.7,6.92,51.4,Conforme
2062,LINHA B,manha, forn c ,177.5,48.5,6.33,46.3, retrabalho 
2063,linha c,TARDE,Fornecedor A,181.0,53.7,7.17,25.3,RETRABALHO
2064,LINHA C,Tarde, FORN B ,196.4,43.5,6.43,59.6,RETRABALHO
2065,linha c,Tarde, forn a ,erro,51.8,6.94,58.0,Conforme
2066,linha b,Tarde,Fornecedor B,192.3,45.7,6.69,41.8,CONFORME
2067,linha b,manha,fornecedor a,185.6,38.1,6.51,26.2,Conforme
2068,linha a,tarde,fornecedor b,203.7,47.0,6.53,51.1,RETRABALHO
2069,linha a,Noite,Forn C,188.5,46.0,6.38,58.7,conforme
2070,linha c,NOITE,fornecedor b,188.7,53.8,5.59,36.5,Retrabalho
2071,Linha A,noite,Fornecedor A,191.8,45.7,6.0,29.1,CONFORME
2072,linha c,MANHÃ,Fornecedor B,191.9,43.7,6.38,38.2,conforme
2073, LINHA A ,,fornecedor b,194.5,46.6,6.41,50.5, conforme 
2074,Linha A,Noite, forn c ,204.0,52.8,5.69,38.4, retrabalho 
2075,LINHA B,Manhã, FORN B ,178.5,37.4,7.18,37.8,conforme
2076,Linha C,TARDE, forn a ,189.5,58.7,6.41,58.8,Retrabalho
2077,Linha C, tarde , forn a ,204.4,48.7,6.63,53.9, retrabalho 
2078,Linha B, manha , FORN B ,192.4,38.6,6.21,46.3,Conforme
2079,Linha B,TARDE,fornecedor b,180.8,36.3,5.7,48.1,Retrabalho
2080,linha a,TARDE,Forn A,181.0,38.9,6.11,43.7, conforme 
2081,LINHA C, manha , FORN B ,188.2,50.8,6.71,51.9,Conforme
2082,Linha C,noite, FORN B ,193.7,56.6,6.4,68.5, retrabalho 
2083,linha c, manha ,Forn A,191.0,50.4,6.53,48.7, conforme 
2084, linha B , manha ,  ,180.0,54.6,6.01,33.0,RETRABALHO
2085,Linha a,TARDE,Forn B,180.2,44.2,7.52,55.3,CONFORME
2086,linha a, tarde ,Fornecedor A,183.2,41.8,6.84,58.4,Conforme
2087,Linha A,Manhã, FORN B ,173.9,37.5,6.58,60.2,Conforme
2088,LINHA B,manha,Fornecedor B,175.6,45.8,7.56,57.3,CONFORME
2089,Linha A, tarde ,Forn A,190.2,44.8,6.25,44.9, conforme 
2090,Linha C,TARDE,Forn A,190.5,54.8,6.36,35.4,RETRABALHO
2091,Linha B,noite,fornecedor b,175.1,35.1,6.0,60.3, conforme 
2092,linha b,Noite,Forn A,188.5,48.7,6.5,39.7,CONFORME
2093,Linha A,TARDE,fornecedor a,179.8,45.3,6.03,44.1, conforme 
2094,Linha B,TARDE,Fornecedor B,190.7,43.6,6.09,27.6,conforme
2095, LINHA A ,NOITE,Forn B,184.7,46.4,6.52,41.6,CONFORME
2096,Linha B,manha,fornecedor b,178.8,38.6,6.85,52.5, conforme 
2012,LINHA B,MANHÃ, forn c ,194.0,47.5,6.28,25.2, retrabalho 
2046,LINHA C,tarde,Fornecedor C,173.6,44.3,7.14,66.3,CONFORME
2071,Linha A,noite,Fornecedor A,191.8,45.7,6.0,29.1,CONFORME
